@id,@lon,@lat,name,cuisine,opening_hours,addr:street,smoking,amenity
1671178807,22.6873400,42.2824400,гостилница Батенберг,,,България,,restaurant
1674866746,22.5045562,41.1651121,Јавор Џоко,,,,,restaurant
1675721765,20.7432888,42.2168419,Hyska,kebab,,,,fast_food
1675722343,20.7433686,42.2170181,Batjari,burger,,,,fast_food
1675730034,20.7436015,42.2168329,Linda,,,,,restaurant
1676857177,21.4871492,41.9843967,Рибен ресторан Рибар (Одисеја),fish,,,,restaurant
1710571027,21.7777592,41.7176653,Снупи,,,,,restaurant
1710571117,21.7775232,41.7176332,Официрски,,,,,restaurant
1712601384,21.7842383,41.7153245,Сина Сала,,,,,restaurant
1712601392,21.7842139,41.7154688,Розе Сала,,,,,restaurant
1747462360,21.4150033,41.9970120,Конак,,,,,pub
1747649203,21.4151525,41.9946274,Крчма,,,,,restaurant
1748017584,21.4204907,41.9904847,Marana,regional,,,,restaurant
1751563134,21.4245254,41.9947645,Pastel Wine & Dine,international,Mo-Fr 06:30-21:00; Sa 06:30-17:00; Su 06:30-16:00,Булевар Климент Охридски,outside,restaurant
1752178268,21.4163482,41.9922398,511,italian,,,,restaurant
1752186795,21.4086601,41.9972291,Акорд,,,,,restaurant
1762422140,21.7183301,42.1345469,Џу Џу Бургер,,,,,fast_food
1762422144,21.7173429,42.1338027,Аркадија,,,,,fast_food
1768193993,21.7204006,42.1365224,Баба Цана,,,,,restaurant
1770866402,21.4207447,41.9987097,Пицерија Либертас,pizza,,T.C Bunjakovec prv kat lok 36,,restaurant
1776012307,21.7318423,42.1235585,Корнер,,,,,restaurant
1790311348,22.8195840,41.3811426,Ресторан СОНЦЕ - Restaurant SONCE,regional,,,,restaurant
1791598024,22.6991213,41.2271802,Хотел Иштатов,,,,,restaurant
1794219941,21.7181577,42.1317263,Рим-Париз,,,,,restaurant
1822907697,21.3899358,42.0007595,Лесковачка скара „Вили“,burger,,,,fast_food
1848409293,21.4456487,41.9775109,Ексклузив,,,,,restaurant
1850489869,21.4514149,42.0578588,Ресторан „Александар“,,,,,restaurant
1850521527,21.4523161,42.0537503,Дарвик,,,,,restaurant
1853383925,21.6549580,42.3048323,Loni,,,,,restaurant
1853387417,21.6546925,42.3050525,Apsolut pub,,,,,pub
1857486052,21.4647397,42.0019716,Тица - Елени,barbecue,,,,restaurant
1860915870,21.7187986,42.1373298,Тунел,,,,,pub
1860915871,21.7192653,42.1366237,W2,,,,,pub
1866179709,21.4302496,41.9930256,Pizza FRESKO,italian,,Македонија,,fast_food
1867176020,21.4304595,41.9957062,Тренд,international,,,,restaurant
1868812117,21.4204158,41.9987513,Дестан,barbecue,Mo-Su 09:00-23:00,Владимир Полежановски,separated,restaurant
1868812169,21.3995909,42.0034064,Ана Кристи,barbecue,,,,restaurant
1868933572,21.3992299,42.0017742,Фотка,macedonian,,,,restaurant
1870054369,21.4275081,41.9936252,Гиро,,,,,fast_food
1874196851,22.3532041,42.0371055,Осоговски Бисер,regional,,,,restaurant
1902382732,20.6968187,42.0535699,Fast-Food "Ce Babovo",pizza,,,,fast_food
1911952177,22.1994416,41.1775397,Момина Чука,regional,,,,restaurant
1911952203,22.2108324,41.1690988,Марково Бачило,regional,,,,restaurant
1919413204,22.4698529,41.6337176,Restoran Shampion,,,,,restaurant
1920228869,22.1639057,42.1826707,Park,fish,,,,restaurant
1920229092,22.0980414,42.1712493,Гого Монд,fish,,,,restaurant
1927095420,22.1937687,41.7376171,Piaza Liberta,,,,,restaurant
1935491365,21.4352156,41.9951834,Карпе дием,,,Кеј 13 Ноември,separated,pub
1969643792,21.2205193,41.6150472,Извор,fish,,,,restaurant
1985948203,21.4165220,41.9922245,Balila,italian,,,,restaurant
1999633538,21.4280088,41.9913688,Бифиња - Рамстор,,,,,restaurant
1999950854,22.2452001,41.4084933,Urban Grill,grill;regional,,,,restaurant
1999950858,22.2436498,41.4098049,AS,,,,,fast_food
1999950860,22.2432474,41.4098411,Kaj Kole,,,,,restaurant
1999950870,22.2439153,41.4092999,Lovec,pizza;regional,,,,restaurant
1999950889,22.2329754,41.4141902,Queen Maria,,,,,restaurant
2004962771,21.4059587,42.0015351,Вили,,,,,fast_food
2010237554,22.1818453,41.9940411,Irish Pub Belfast,,,,,pub
2051037096,20.7413455,42.2118020,Sofra,regional,,Adem Jashari,,restaurant
2051047132,20.7198664,42.2176464,Salloni dasmave Metropol,regional,,,,restaurant
2051055154,20.7275332,42.2209178,Restaurant SHARRI,international,,,,restaurant
2105387352,21.4252581,42.0001581,Бруклински,,,Орце Николов,separated,restaurant
2134272786,20.8467800,42.1707254,Restaurant Villa Park,,,,,restaurant
2134272819,20.8486683,42.1706677,Restaurant Shtëpia e Bardhë,,,,,restaurant
2159535851,21.4347685,41.9953199,Бела виста,international,10:00-24:00  Fr-Sa 10:00-01:00,Кеј 13 Ноември,,restaurant
2167876290,20.7342379,42.2105745,Han Plus Fast Food,,,Remzi Ademaj,,fast_food
2241200672,21.9231892,40.9689738,Το Χωριάτικο,greek,,,,restaurant
2241200726,21.9445718,40.9715094,Το Παραδοσιακό,greek,,,,restaurant
2241200735,21.9433541,40.9705494,Υδρόλιθος,international,,,,restaurant
2248576366,20.8540545,41.6714481,Стража,,,,,fast_food
2248576375,20.8544996,41.6714632,Стража,,,,,restaurant
2292333295,21.5546262,41.3459768,Каспер,,,,,restaurant
2292437665,21.5543097,41.3453989,Пинк Пантер,,,,,restaurant
2292486455,21.5543797,41.3460137,Парадизо,,,,,restaurant
